what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1453849438276
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1453849438276
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1453849438276
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1453849438277
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1453849438277
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1453849438278
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1453849438278
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1453849438278
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1453849438279
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1453849438279
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1453849438280
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1453849438281
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1453849438282
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1453849438282
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1453849438282
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1453849438283
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1453849438284
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1453849438285
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1453849438285
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1453849438285
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1453849438286
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1453849438286
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1453849438287
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1453849438287
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1453849438288
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1453849438288
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1453849438288
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1453849438289
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1453849438289
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1453849438289
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1453849438289
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1453849438290
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1453849438290
os,sysinfo,,,"linux",1453849438292
arch,sysinfo,,,"x86",1453849438292
ws,sysinfo,,,"gtk",1453849438292
locale,sysinfo,,,"en_US",1453849438292
processors,sysinfo,,,"4",1453849438292
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1453849438292
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1453849438292
java.specification.name,sysinfo,,,"Java Platform API Specification",1453849438292
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453849438292
java.specification.version,sysinfo,,,"1.6",1453849438292
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1453849438292
java.version,sysinfo,,,"1.6.0_23",1453849438292
java.vm.info,sysinfo,,,"mixed mode",1453849438292
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1453849438292
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453849438292
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453849438292
java.vm.specification.version,sysinfo,,,"1.0",1453849438292
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1453849438292
java.vm.version,sysinfo,,,"19.0-b09",1453849438292
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1453849441226
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1453849442209
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453849442212
executed,command,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project.commands.quartus",1453849443741
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1453849443794
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1453849443819
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1453849443852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453849446072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453849461474
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453849463176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453849463553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453849464518
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1453849465296
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1453849465420
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1453849466830
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1453849466833
