what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704522719
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704523164
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454704523474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704523804
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704524749
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454704527089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704529384
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454704530105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704530138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704530218
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454704531341
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454704532902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704532962
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454704536943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704552347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704553568
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704553985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704706718
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704707219
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454704707828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704708172
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704708608
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454704709478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704712250
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454704712889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704712921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704713022
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454704713662
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454704715180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704715242
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454704719266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704730958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704805828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704807418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704875632
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454704876498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704879737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704883644
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454704884500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704884921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704885311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704887202
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454704887702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454704887728
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454704888928
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454704889946
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454704894123
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454704994659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454705002445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454705009936
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454705011062
