what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 3-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454712087017
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454712090226
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454712148296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454712161837
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454712162777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712163166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712163994
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454712164983
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712166643
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454712167337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712167368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712167410
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454712168305
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454712169131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712169172
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 3-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454712170028
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454712173210
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454712237957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454712257242
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454712257829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712258301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712259043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454712442941
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454712446857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712447263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454712448111
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454712448745
