what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454700984635
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454700985324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454700988563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454701056895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454701059673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454701097553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454701099882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702181739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702182753
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702519457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702520531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702956035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702956138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702959364
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454702960682
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1454702960785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454702964468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702964869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702965204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454702967715
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454702979674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454702990899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703020505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703027452
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703161931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1454703167281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1454703168670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703181463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703187380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703192741
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703193461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703197457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703217149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1454703230857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1454703232396
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454703238940
error,log,,,"Could not write metadata for '/experiment3_bsp'.",1454703259378
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703259457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703264646
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454703266514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703269395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703273233
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454703280121
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454703296614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703297024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454703301998
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454703311501
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454703311559
