what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1454013990192
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1454013990193
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1454013990195
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1454013990197
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1454013990198
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1454013990200
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1454013990203
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1454013990205
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1454013990209
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1454013990210
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1454013990213
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1454013990214
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1454013990218
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1454013990219
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1454013990221
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1454013990222
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1454013990223
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1454013990225
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1454013990228
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1454013990229
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1454013990230
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1454013990231
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1454013990233
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1454013990235
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1454013990236
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1454013990237
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1454013990238
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1454013990239
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1454013990240
os,sysinfo,,,"linux",1454013990242
arch,sysinfo,,,"x86",1454013990242
ws,sysinfo,,,"gtk",1454013990242
locale,sysinfo,,,"en_US",1454013990242
processors,sysinfo,,,"3",1454013990242
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454013990242
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1454013990242
java.specification.name,sysinfo,,,"Java Platform API Specification",1454013990242
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454013990242
java.specification.version,sysinfo,,,"1.6",1454013990242
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1454013990242
java.version,sysinfo,,,"1.6.0_23",1454013990242
java.vm.info,sysinfo,,,"mixed mode",1454013990242
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1454013990242
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454013990242
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454013990242
java.vm.specification.version,sysinfo,,,"1.0",1454013990242
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1454013990242
java.vm.version,sysinfo,,,"19.0-b09",1454013990242
started,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1454013993878
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1454013993905
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1454013994100
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1454013994132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454013994372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014088521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014090066
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1454014093436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014098538
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1454014100610
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1454014102063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014102197
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1454014106652
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1454014106654
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1454014107574
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1454014107574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014107594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014107672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014108499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014109430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014185532
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1454014186870
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1454014187236
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454014187269
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454014187359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1454014188474
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1454014189022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454014189968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014191339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014195738
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454014196745
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1454014199311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014199671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014200229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014200814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014201616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014203014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014218953
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454014220996
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454014221101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1454014222104
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1454014222743
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454014223610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014225192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014230137
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1454014230776
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454014232642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014233022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014239566
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454014239626
