what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018291385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018338714
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454018369513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018373219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018403984
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454018406373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018416852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018539933
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454018540905
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018541996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018643404
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454018643454
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454018645564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018645955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018646396
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454018647234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018650843
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454018651285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454018651312
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454018652504
