what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1454011819407
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1454011819407
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1454011819407
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1454011819407
os,sysinfo,,,"linux",1454011819410
arch,sysinfo,,,"x86",1454011819410
ws,sysinfo,,,"gtk",1454011819410
locale,sysinfo,,,"en_US",1454011819410
processors,sysinfo,,,"3",1454011819410
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454011819410
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1454011819410
java.specification.name,sysinfo,,,"Java Platform API Specification",1454011819410
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454011819410
java.specification.version,sysinfo,,,"1.6",1454011819410
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1454011819410
java.version,sysinfo,,,"1.6.0_23",1454011819410
java.vm.info,sysinfo,,,"mixed mode",1454011819410
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1454011819410
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454011819410
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454011819410
java.vm.specification.version,sysinfo,,,"1.0",1454011819410
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1454011819410
java.vm.version,sysinfo,,,"19.0-b09",1454011819410
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1454011821546
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1454011821555
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1454011821602
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1454011825974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454011826182
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1454011827910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1454011827910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454011827919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454011829648
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1454011830332
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1454011830333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454011830355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454011832301
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1454011838184
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1454011838184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454011838192
