what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1453244920890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244920924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244920992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244925522
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453244925641
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1453244927004
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453244929882
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1453244936636
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1453244940146
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1453244942559
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453244943691
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453244944282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244944714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244945342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1453244951674
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1453244952984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453244953711
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1453244954818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244955160
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244956801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244956867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244957833
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1453244958937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244960714
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1453244961388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244961417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244961495
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453244962097
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1453244963465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244963535
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1453244966324
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1453244976412
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1453244986806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1453244994134
